tick,anaerobic_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,5
32,26
33,70
34,168
35,291
36,420
37,558
38,743
39,887
40,963
41,1022
42,1091
43,1141
44,1176
45,1197
46,1220
47,1235
48,1254
49,1278
50,1306
51,1328
52,1356
53,1381
54,1416
55,1490
56,1557
57,1630
58,1696
59,1744
60,1797
61,1833
62,1879
63,1914
64,1972
65,2013
66,2060
67,2092
68,2133
69,2154
70,2178
71,2191
72,2198
73,2209
74,2223
75,2236
76,2242
77,2266
78,2285
79,2302
80,2317
81,2339
82,2356
83,2370
84,2379
85,2396
86,2409
87,2430
88,2444
89,2457
90,2476
91,2506
92,2524
93,2556
94,2575
95,2605
96,2633
97,2661
98,2679
99,2693
100,2698
101,2715
102,2728
103,2736
104,2748
105,2755
106,2758
107,2768
108,2752
109,2743
110,2744
111,2740
112,2734
113,2731
114,2736
115,2740
116,2737
117,2719
118,2719
119,2717
120,2714
121,2710
122,2702
123,2695
124,2673
125,2659
126,2643
127,2631
128,2609
129,2583
130,2559
131,2539
132,2525
133,2516
134,2500
135,2498
136,2496
137,2483
138,2472
139,2456
140,2432
141,2423
142,2424
143,2417
144,2398
145,2400
146,2403
147,2398
148,2404
149,2422
150,2438
151,2463
152,2475
153,2484
154,2478
155,2501
156,2517
157,2525
158,2538
159,2554
160,2567
161,2564
162,2581
163,2586
164,2585
165,2597
166,2589
167,2590
168,2581
169,2573
170,2578
171,2572
172,2554
173,2550
174,2561
175,2565
176,2574
177,2570
178,2580
179,2583
180,2583
181,2584
182,2580
183,2582
184,2594
185,2601
186,2608
187,2632
188,2645
189,2649
190,2658
191,2662
192,2666
193,2682
194,2690
195,2696
196,2704
197,2715
198,2704
199,2710
200,2709
201,2710
202,2704
203,2712
204,2709
205,2708
206,2695
207,2701
208,2697
209,2695
210,2687
211,2674
212,2663
213,2661
214,2641
215,2629
216,2630
217,2619
218,2622
219,2630
220,2628
221,2626
222,2615
223,2621
224,2612
225,2610
226,2605
227,2605
228,2609
229,2614
230,2617
231,2599
232,2583
233,2532
234,2475
235,2404
236,2304
237,2184
238,2100
239,2033
240,1983
241,1960
242,1940
243,1919
244,1898
245,1857
246,1843
247,1824
248,1816
249,1821
250,1817
251,1809
252,1801
253,1797
254,1789
255,1783
256,1764
257,1754
258,1753
259,1751
260,1745
261,1737
262,1727
263,1706
264,1689
265,1670
266,1656
267,1626
268,1609
269,1590
270,1567
271,1546
272,1532
273,1511
274,1511
275,1490
276,1463
277,1444
278,1422
279,1402
280,1391
281,1380
282,1368
283,1335
284,1312
285,1286
286,1263
287,1235
288,1211
289,1186
290,1140
291,1094
292,1053
293,1015
294,982
295,944
296,905
297,873
298,851
299,810
300,770
301,729
302,687
303,655
304,628
305,594
306,553
307,528
308,510
309,474
310,449
311,425
312,414
313,397
314,384
315,364
316,353
317,340
318,328
319,317
320,303
321,290
322,276
323,265
324,245
325,236
326,223
327,205
328,187
329,168
330,146
331,125
332,109
333,93
334,77
335,66
336,59
337,48
338,42
339,37
340,31
341,26
342,19
343,17
344,14
345,12
346,10
347,7
348,7
349,5
350,4
351,3
352,2
353,2
354,1
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
