tick,anaerobic_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,5
30,12
31,39
32,99
33,190
34,269
35,372
36,493
37,650
38,773
39,850
40,958
41,1021
42,1072
43,1107
44,1112
45,1132
46,1153
47,1177
48,1185
49,1196
50,1206
51,1212
52,1213
53,1220
54,1226
55,1232
56,1238
57,1239
58,1243
59,1251
60,1267
61,1284
62,1289
63,1300
64,1311
65,1341
66,1362
67,1382
68,1409
69,1423
70,1437
71,1447
72,1468
73,1485
74,1507
75,1521
76,1531
77,1548
78,1549
79,1565
80,1581
81,1577
82,1594
83,1602
84,1610
85,1605
86,1629
87,1628
88,1649
89,1652
90,1665
91,1668
92,1669
93,1677
94,1680
95,1689
96,1706
97,1709
98,1719
99,1726
100,1730
101,1740
102,1736
103,1741
104,1743
105,1742
106,1746
107,1750
108,1749
109,1751
110,1754
111,1760
112,1766
113,1770
114,1778
115,1777
116,1777
117,1771
118,1767
119,1761
120,1759
121,1755
122,1761
123,1759
124,1755
125,1753
126,1748
127,1746
128,1750
129,1750
130,1755
131,1752
132,1752
133,1749
134,1750
135,1747
136,1753
137,1754
138,1751
139,1750
140,1748
141,1743
142,1736
143,1724
144,1727
145,1716
146,1721
147,1711
148,1709
149,1709
150,1701
151,1699
152,1688
153,1696
154,1682
155,1679
156,1671
157,1668
158,1678
159,1669
160,1678
161,1680
162,1674
163,1676
164,1680
165,1683
166,1685
167,1681
168,1679
169,1682
170,1684
171,1688
172,1694
173,1694
174,1696
175,1702
176,1689
177,1694
178,1703
179,1703
180,1702
181,1697
182,1705
183,1699
184,1707
185,1714
186,1728
187,1729
188,1748
189,1746
190,1745
191,1753
192,1753
193,1743
194,1749
195,1752
196,1756
197,1761
198,1761
199,1768
200,1766
201,1773
202,1774
203,1774
204,1778
205,1780
206,1784
207,1791
208,1789
209,1785
210,1781
211,1781
212,1770
213,1773
214,1765
215,1753
216,1755
217,1753
218,1751
219,1749
220,1744
221,1745
222,1740
223,1742
224,1734
225,1736
226,1732
227,1726
228,1717
229,1711
230,1685
231,1653
232,1622
233,1556
234,1487
235,1402
236,1301
237,1222
238,1181
239,1131
240,1094
241,1065
242,1037
243,1006
244,986
245,967
246,949
247,936
248,919
249,912
250,884
251,871
252,856
253,841
254,833
255,819
256,805
257,803
258,803
259,782
260,767
261,754
262,748
263,739
264,730
265,720
266,707
267,695
268,679
269,661
270,645
271,633
272,619
273,605
274,596
275,593
276,565
277,555
278,546
279,531
280,520
281,510
282,497
283,489
284,473
285,452
286,438
287,427
288,423
289,407
290,385
291,376
292,363
293,352
294,327
295,317
296,305
297,293
298,279
299,266
300,258
301,244
302,230
303,219
304,209
305,192
306,178
307,170
308,155
309,149
310,142
311,131
312,120
313,109
314,103
315,92
316,83
317,74
318,68
319,58
320,52
321,49
322,40
323,38
324,36
325,32
326,32
327,31
328,26
329,23
330,17
331,12
332,8
333,6
334,5
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,2
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
